user_id,date,twitter_id,text,hyperlinks,likes,retweets,related_hashtags,tweet_link
 Evan317 , 2020-07-10 23:59:57 , 1281739969959276545 ,@theassassinbaby COME ON @ufc THIS IS HIS OPPORTUNITY!!! #mma #mmatwitter #ufc251 #UFCFightIsland #ufc #ufcfightnight https://t.co/VVpoczUq7s, empty , 1 , 0 ,mma mmatwitter ufc    UFCFightIsland ufc ufcfightnight , https://twitter.com/id/status/1281739969959276545 
 k_shouwa , 2020-07-10 23:59:56 , 1281739969271226368 ,"We 𝒎𝒊𝒈𝒉𝒕 not need the judges for this one…😳

🇨🇭 @Volkan_Oezdemir welcomes the debuting 🇨🇿 @Jiri_BJP to the Octagon to close the #UFC251 prelims!

#InAbuDhabi | @VisitAbuDhabi https://t.co/7kuPLrhx3O", empty , 239 , 41 , empty , https://twitter.com/id/status/1281739969271226368 
 chrisgitser , 2020-07-10 23:59:55 , 1281739962128498689 ,Jorge Masvidal cutting weight ⚖️ (via @GamebredFighter) #UFC251 #UFCFightIsland https://t.co/us3dHqRumX,https://pbs.twimg.com/media/EckV-7-XkAAYLW2.jpg , 9212 , 1063 ,UFC    UFCFightIsland , https://twitter.com/id/status/1281739962128498689 
 NASTYNOE98 , 2020-07-10 23:59:50 , 1281739942373158912 ,@NASTYNOE98 You’re all set! We’ll send you a reminder on 7/11 to stream #UFC251 LIVE on ESPN+ #ESPNPlus #UFCFightIsland https://t.co/DwUwkN0lQj, empty , 1 , 1 ,UFC    ESPNPlus UFCFightIsland , https://twitter.com/id/status/1281739942373158912 
 leyva_jay , 2020-07-10 23:59:47 , 1281739928863465475 ,Miami Heat captain @ThisIsUD has faith @GamebredFighter gets it done tomorrow night at #UFC251 https://t.co/erftIuY6yd,https://video.twimg.com/ext_tw_video/1281688910884753409/pu/vid/480x270/hUj-dCRQStXTHIvH.mp4?tag=10, 583 , 94 ,UFC    , https://twitter.com/id/status/1281739928863465475 
 JoaquinSmooth , 2020-07-10 23:59:42 , 1281739907648483328 ,"❤️ this Tweet for a reminder to stream #UFC251 LIVE from Fight Island on 7/11, only on ESPN+ PPV #ESPNPlus #UFCFightIsland https://t.co/TikuZaPBIi", empty , 20732 , 2453 ,UFC    ESPNPlus UFCFightIsland , https://twitter.com/id/status/1281739907648483328 
 MCombs601 , 2020-07-10 23:59:41 , 1281739903068405762 ,"I’ll be sending $10 on CashApp to a couple of people that are subscribed to my YouTube channel, like and comment on my most recent video. Reply with proof...must be following 👀
Make sure to get your picks in before the fights tomorrow night 🤑
#UFC251 

https://t.co/bNqyoOsgcc", empty , 22 , 10 , empty , https://twitter.com/id/status/1281739903068405762 
 ChaseMistretta , 2020-07-10 23:59:34 , 1281739875138641920 ,"FOR WELTERWEIGHT GOLD. 🏆

🏆🇳🇬 @USMAN84kg vs 🤬 @GamebredFighter 

Order now ➡️ https://t.co/bzG8eulB7q #UFC251 https://t.co/VObQcd0mrp", empty , 12098 , 2636 ,UFC    , https://twitter.com/id/status/1281739875138641920 
 FrenchJerrid , 2020-07-10 23:59:31 , 1281739860953505793 ,ANDRADE vs NAMAJUNES! #UFC251 is LIVE TOMORROW on @espn+ PPV at 10pm ET #InAbuDhabi https://t.co/9tTWoREOJK,https://video.twimg.com/ext_tw_video/1281610112906473472/pu/pl/DqzlhfoQzfs0-Tlr.m3u8?tag=10, 936 , 126 ,UFC    InAbuDhabi , https://twitter.com/id/status/1281739860953505793 
 llalypop , 2020-07-10 23:59:30 , 1281739859414016000 ,Work is officially done for the day and I can really get excited for tomorrow’s fight night 🤗😬 #UFC251, empty , 7 , 1 ,UFC    , https://twitter.com/id/status/1281739859414016000 
