user_id,date,twitter_id,text,hyperlinks,likes,retweets,related_hashtags,added_url,tweet_link
ANeal16,Mon Jul 13 19:03:17 +0000 2020,1282752477205598208, @domneezy While I have your attention here’s a list of Denver based Black Owned Businesses that we can support not only on ,empty,78,96,empty,https://t.co/8B895o5oPY,https://twitter.com/id/status/1267839533292244992
pandu_gadu4005,Mon Jul 13 18:44:29 +0000 2020,1282747743824343040, @urstrulyMahesh ,empty,39816,7932,BlackOutTuesday ,https://t.co/mRPfgI3ecG,https://twitter.com/id/status/1267873281593405441
badgalnas_,Mon Jul 13 18:39:18 +0000 2020,1282746441191038976,Remember tomorrow is we doing this every week,empty,2,0,BlackOutTuesday ,,https://twitter.com/id/status/1282746441191038976
SkywalkerBuzz,Mon Jul 13 18:38:04 +0000 2020,1282746132771332100, @JasonWalker @SkywalkerBuzz,empty,1,1,BlackOutTuesday blackoutday blackoutday     ,https://t.co/hTbjduevE2,https://twitter.com/id/status/1280546774474723330
vikkidavis5,Mon Jul 13 18:36:16 +0000 2020,1282745679425581056, @HotepJesus The white liberal told the negroes to boycott social media the day of Hillary Clintons hearing for why shes avoiding test…,empty,4444,1782,empty,https://t.co/JuuGRJLDC6,https://twitter.com/id/status/1267900659602468865
xclleidex,Mon Jul 13 18:21:38 +0000 2020,1282741996042559489,@QuebrandoOTabu Tá mas a mobilização só foi no pra dizer q não é racista e no dia a dia Da voz ao preto,empty,1,0,BlackOutTuesday ,,https://twitter.com/id/status/1282741996042559489
De_Knotty_Nez,Mon Jul 13 18:18:37 +0000 2020,1282741235422199808, @Joshhymself Lett support our upcoming artiste Retweet at least to help and support a talent Kwame AkufoAddo Shatta Wale ,empty,63,16,empty,https://t.co/7AHQgJPkiJ,https://twitter.com/id/status/1267750783237402624
Tradyshia1,Mon Jul 13 18:14:20 +0000 2020,1282740158568312837, @peoplefighting1 2 police arrested a black FBI agent and got CALLED OUT  htt…,empty,39,14,CopsAreTerrorists BlackLivesMatter BlackOutTuesday ,https://t.co/EhkOu1NMCm,https://twitter.com/id/status/1267827150117146624
OmniIncite,Mon Jul 13 18:14:00 +0000 2020,1282740075546259456, @OmniIncite We stand in solidarity on the side of equality ,empty,0,2,BlackOutTuesday ,https://t.co/rBej1mP0Xh,https://twitter.com/id/status/1267840470413185025
JuanSegovino,Mon Jul 13 18:11:20 +0000 2020,1282739405086654469, @ichich56298044 ADS For a short time 1349 ,empty,4,16,blacklivesmatter blm georgefloyd justiceforgeorgefloyd love ,"https://t.co/Wi6jqBKRCX

https://t.co/YJ4emItXFu",https://twitter.com/id/status/1282719413825921024
