user_id,date,twitter_id,text,media,likes,retweets,related_hashtags,external_links,tweet_link
Rod549,Fri Jul 10 23:49:36 +0000 2020,1281737367309692928, @JohnWolfeYT Doing something different on the stream tonight Well be Just Chatting about everything going on By that I mean I want…,,1805,127,TWITCHBLACKOUT ,,https://twitter.com/id/status/1281737367309692928
Deacookie,Fri Jul 10 21:45:35 +0000 2020,1281706159217377280, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,123,49,SupportSmallStreams SupportSmallStreamers Twitch ModernWarfare TwitchAffilate twitchblackout FollowBack ,,https://twitter.com/id/status/1281706159217377280
TwitchBuds,Fri Jul 10 21:34:56 +0000 2020,1281703477060796416, @MandyGfxdesign if you are looking for an Animated logo design then HMU Making at reasonable prices ,,2,2,twitchblackout gamingcommunity gamers overlay streamer streamingbokep twitchstreamer GamingNews GamerzThailand GFX StreamerNetwork streamingNOW twitchtv cartoon animated ,,https://twitter.com/id/status/1281703477060796416
grouchoporx,Fri Jul 10 21:29:37 +0000 2020,1281702137823555584, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,123,49,SupportSmallStreams SupportSmallStreamers Twitch ModernWarfare TwitchAffilate twitchblackout FollowBack ,,https://twitter.com/id/status/1281702137823555584
Grojan3,Fri Jul 10 21:23:47 +0000 2020,1281700672677785600, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,123,49,SupportSmallStreams SupportSmallStreamers Twitch ModernWarfare TwitchAffilate twitchblackout FollowBack ,,https://twitter.com/id/status/1281700672677785600
theonlylucid,Fri Jul 10 21:21:46 +0000 2020,1281700164470583298, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,123,49,SupportSmallStreams SupportSmallStreamers Twitch ModernWarfare TwitchAffilate twitchblackout FollowBack ,,https://twitter.com/id/status/1281700164470583298
HRGLIVE,Fri Jul 10 21:19:52 +0000 2020,1281699684399095810, @MandyGfxdesign if you are looking for an Animated logo design then HMU Making at reasonable prices ,,2,2,twitchblackout gamingcommunity gamers overlay streamer streamingbokep twitchstreamer GamingNews GamerzThailand GFX StreamerNetwork streamingNOW twitchtv cartoon animated ,,https://twitter.com/id/status/1281699684399095810
Mandy_Gfxdesign,Fri Jul 10 21:12:20 +0000 2020,1281697788041015297,if you are looking for an Animated logo design then HMU Making at reasonable prices ,https://pbs.twimg.com/media/EcmBGMhWsAcDYSM.png ,2,2,twitchblackout gamingcommunity gamers overlay streamer streamingbokep twitchstreamer GamingNews GamerzThailand GFX StreamerNetwork streamingNOW twitchtv cartoon animated ,https://t.co/AvKJiOKYVI,https://twitter.com/id/status/1281697788041015297
Stream_Support_,Fri Jul 10 20:59:52 +0000 2020,1281694650450038786, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,123,49,SupportSmallStreams SupportSmallStreamers Twitch ModernWarfare TwitchAffilate twitchblackout FollowBack ,,https://twitter.com/id/status/1281694650450038786
JoedyLeal,Fri Jul 10 20:56:59 +0000 2020,1281693928073261056, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,123,49,SupportSmallStreams SupportSmallStreamers Twitch ModernWarfare TwitchAffilate twitchblackout FollowBack ,,https://twitter.com/id/status/1281693928073261056
BravoOne1B11,Fri Jul 10 20:39:35 +0000 2020,1281689549178052609, @JessicahTV LIVE w Siege Ill be taking a page out of @Snugibun s book and raising money for RAINN an org against…,,24,7,TWITCHBLACKOUT ,,https://twitter.com/id/status/1281689549178052609
