user_id,date,twitter_id,text,media,likes,retweets,related_hashtags,external_links,tweet_link
puckhead1994,2020-07-13 23:36:50,1282821316790362112, @TheNinedFox NOW LIVE Getting started early tonight with some Final Fantasy 7 Remake Shinra hopes to drop the plate down on the peo…,,1,2,,,https://twitter.com/id/status/1282821316790362112
NATHAN_LEGION,2020-07-13 23:20:08,1282817116794748931, @ReallyRules Daily promotion time FOLLOW ME 1 Like amp Retweet 2 Comment your yttwitch 3 Follow me and I’ll follow you 4 GROW TOGE…,,21,17,,,https://twitter.com/id/status/1282817116794748931
TheGL_ttv,2020-07-13 23:14:49,1282815775892484097, @ReallyRules Daily promotion time FOLLOW ME 1 Like amp Retweet 2 Comment your yttwitch 3 Follow me and I’ll follow you 4 GROW TOGE…,,21,17,,,https://twitter.com/id/status/1282815775892484097
vincent4756,2020-07-13 23:08:53,1282814285991870466, @TheNinedFox NOW LIVE Getting started early tonight with some Final Fantasy 7 Remake Shinra hopes to drop the plate down on the peo…,,1,2,,,https://twitter.com/id/status/1282814285991870466
_III_JK_III_,2020-07-13 23:08:28,1282814178512830466, @ReallyRules Daily promotion time FOLLOW ME 1 Like amp Retweet 2 Comment your yttwitch 3 Follow me and I’ll follow you 4 GROW TOGE…,,21,17,,,https://twitter.com/id/status/1282814178512830466
TheNinedFox,2020-07-13 23:05:21,1282813396119945218,NOW LIVE Getting started early tonight with some Final Fantasy 7 Remake Shinra hopes to drop the plate down on the people below Cloud says no ,,1,2,gaming streamer FinalFantasyVIIRemake twitchblackout ,"https://t.co/NwaAATHbs4

",https://twitter.com/id/status/1282813396119945218
Shodthrone1,2020-07-13 23:03:00,1282812802684592137,Road to affiliate starts now We let’s get this We getting there slowly everyday  ,https://video.twimg.com/ext_tw_video/1282812576334782466/pu/vid/320x320/Sva8rt03PGpnzn_L.mp4?tag=10,2,0,shodarmy TwitchAffilate twitchaffiliate twitchtv TwitchStreamers twitchgamer TwitchPrime twitchblackout TwitchRivals ninja gaming gamingcommunity ,https://t.co/rYlR1lyCY6,https://twitter.com/id/status/1282812802684592137
stream_caster,2020-07-13 22:50:32,1282809665634611203, @ReallyRules Daily promotion time FOLLOW ME 1 Like amp Retweet 2 Comment your yttwitch 3 Follow me and I’ll follow you 4 GROW TOGE…,,21,17,,,https://twitter.com/id/status/1282809665634611203
tangyfrenchfry,2020-07-13 22:50:27,1282809643513847810, @ReallyRules Daily promotion time FOLLOW ME 1 Like amp Retweet 2 Comment your yttwitch 3 Follow me and I’ll follow you 4 GROW TOGE…,,21,17,,,https://twitter.com/id/status/1282809643513847810
Acey_05,2020-07-13 22:10:24,1282799566375526403, @ReallyRules Daily promotion time FOLLOW ME 1 Like amp Retweet 2 Comment your yttwitch 3 Follow me and I’ll follow you 4 GROW TOGE…,,21,17,,,https://twitter.com/id/status/1282799566375526403
Aniart16,2020-07-13 22:09:51,1282799426659143682, @ReallyRules Daily promotion time FOLLOW ME 1 Like amp Retweet 2 Comment your yttwitch 3 Follow me and I’ll follow you 4 GROW TOGE…,,21,17,,,https://twitter.com/id/status/1282799426659143682
ReallyRules,2020-07-13 22:08:11,1282799008935604224,Daily promotion time FOLLOW ME 1 Like amp Retweet 2 Comment your yttwitch 3 Follow me and I’ll follow you 4 GROW TOGETHER @SmallStreamersC ,,21,17,smallstreamer SmallStreamersConnect SupportSmallStreams SupportSmallStreamers Witcher  Diablo  pathofexile twitchblackout ,,https://twitter.com/id/status/1282799008935604224
androiddevRTbot,2020-07-13 21:17:41,1282786299255152640, @ApkRinga Twitch v932 Final AdFree ,,0,2,apk apkfileinfo android   AndroidDev Androidlivesmatter free ,https://t.co/e5JM4Rf4Kd,https://twitter.com/id/status/1282786299255152640
ApkRinga,2020-07-13 21:17:14,1282786185807626243,Twitch v932 Final AdFree ,https://pbs.twimg.com/media/Ec1e13QWoAY4dFF.png ,0,2,apk apkfileinfo android   AndroidDev Androidlivesmatter free Download Downloadtheapp twitchstream twitchblackout adfree ,"https://t.co/gKjAl86imE 
https://t.co/e5JM4Rf4Kd",https://twitter.com/id/status/1282786185807626243
