user_id,date,twitter_id,text,media,likes,retweets,related_hashtags,external_links,tweet_link
Level_up_Koala,2020-07-15 22:10:23,1283524336037634056,dont even know why I try anymore @BungieHelp ,https://video.twimg.com/ext_tw_video/1283523887960072192/pu/vid/480x270/iZrQH_aLKkXFPXVO.mp4?tag=10,1,0,beaver why Koala destiny  destinythegame ,,https://twitter.com/id/status/1283524336037634056
Colin_Todd_,2020-07-15 20:07:11,1283493334238015489, @EmilyFairfax I have a feeling this will be another goto reading for my undergrad researchers alongside @benagoldfarb’s Eager amp @f…,,14,1,,,https://twitter.com/id/status/1283493334238015489
thewpcity,2020-07-15 20:00:12,1283491576031969282,Combining the Builder plugin with specific themes results in the creation of a stunning website 1 Hestia Pro Theme 2 Customify Theme 3 Icelander Theme 4 Beaver Builder Theme Check out more theme ,,2,0,Beaver WordPressthemes ,,https://twitter.com/id/status/1283491576031969282
JohanCPatricio,2020-07-15 19:03:33,1283477320297136128,Work from home setup means having @OfficialEarpPod playing in the background while I work Judge me all u want @emtothea all that and talk  ,https://pbs.twimg.com/media/Ec_T0hrUMAAZF7H.jpg ,0,0,flavoredchips beaver earpsoon WynonnaEarp WynonnaEarpSeason  ,,https://twitter.com/id/status/1283477320297136128
WestPointHats1,2020-07-15 18:05:12,1283462635401482242, 8398 Mx Wapp 4761233084 y ,https://pbs.twimg.com/media/Ec_GdZuXoAIyge1.jpg ,1,0,texana    x marlboro westpointhats pelodecastor beaver longlivecowboys longlivecowgirls texanas sombreros westpointhats    x   x   x   x   x  x black blacklivesmatter noalcoronavirus ,"https://t.co/x8nDwZ7S2k 
",https://twitter.com/id/status/1283462635401482242
Messutto,2020-07-15 17:33:06,1283454556664471553, @ESAApplications in @ESAApplications with from @umnlib Ecological reveal limitations of common model selecti…,,3,2,New OpenData forecasts ,https://t.co/0QVQw4ggcs,https://twitter.com/id/status/1283454556664471553
ESA_org,2020-07-15 17:32:45,1283454468403589120, @ESAApplications in @ESAApplications with from @umnlib Ecological reveal limitations of common model selecti…,,3,2,New OpenData forecasts ,https://t.co/0QVQw4ggcs,https://twitter.com/id/status/1283454468403589120
EmilyFairfax,2020-07-15 15:39:42,1283426020305932293,I have a feeling this will be another goto reading for my undergrad researchers alongside @benagoldfarb’s Eager amp @franbwrites’s Once They Were Hats All y’all authors make it so easy for me to onboard students amp get them excited about science I’m not complaining ,,14,1,beaver ,,https://twitter.com/id/status/1283426020305932293
Naturenut57,2020-07-15 15:02:05,1283416551279022082, @EmilyFairfax Congrats on the new paper @TheBeaverDoctor couldn’t find any of your coauthors on twitter Looking forward to reading…,,3,1,,,https://twitter.com/id/status/1283416551279022082
EmceeSLIM,2020-07-15 14:41:43,1283411425591992320, @TPSRydzik So Just had a visit from a big Watch him reach up and grab the willow branches amp go for a little s…,,155,14,cool Canadian Beaver ,,https://twitter.com/id/status/1283411425591992320
EmilyFairfax,2020-07-15 14:40:58,1283411238404251648,Congrats on the new paper @TheBeaverDoctor couldn’t find any of your coauthors on twitter Looking forward to reading about population dynamic models ,,3,1,beaver ,,https://twitter.com/id/status/1283411238404251648
ESAApplications,2020-07-15 14:30:00,1283408478288011265, in @ESAApplications with from @umnlib Ecological reveal limitations of common model selection methods predicting changes in colony densities ,https://pbs.twimg.com/media/Ec01-cbWkAA6bu5.png ,3,2,New OpenData forecasts beaver hindcast longterm populationdynamics ,https://t.co/usj0af2MOZ ,https://twitter.com/id/status/1283408478288011265
thewpcity,2020-07-15 14:00:01,1283400931678334976,10 Best Beaver Builder Compatible Themes 1 Hestia Pro Theme 2 GeneratePress Theme 3 Icelander Theme 4 Page Builder Framework Theme 5 OceanWP Theme Get the complete list ,,1,0,Beaver WordPressthemes ,,https://twitter.com/id/status/1283400931678334976
CoyoteWatchCAN,2020-07-15 13:00:28,1283385948525531138,Watch “A Poem by Chris Jones” on Beaver beauty  ,,1,0,Vimeo beaver ecosystem coexistence compassionateconservation visualsoflife habitat ,,https://twitter.com/id/status/1283385948525531138
